Name,Age,Team,League,Games_Played,Plate_Appearances,At_Bats,Hits,Home_Runs,RBIs,Walks,Strike_Outs,Batting_Average,Onbase_Percentage,Slugging
Rodolfo Castro,24,TOT,NL,92,256,227,48,6,24,23,74,0.211,0.297,0.322
Kyle Higashioka,33,NYY,AL,92,260,242,57,10,34,14,74,0.236,0.274,0.413
Vinnie Pasquantino,25,KCR,AL,61,260,231,57,9,26,25,31,0.247,0.324,0.437
Gary Sánchez,30,SDP,NL,72,260,234,51,19,46,21,64,0.218,0.292,0.5
Nicky Lopez,28,TOT,MLB,93,262,225,52,1,25,26,40,0.231,0.326,0.307
Oscar Colás,24,CHW,AL,75,263,245,53,5,19,12,71,0.216,0.257,0.314
Randal Grichuk,31,COL,NL,64,263,240,74,8,27,18,51,0.308,0.365,0.496
Trey Mancini,31,CHC,NL,79,263,235,55,4,28,21,78,0.234,0.299,0.336
Joshua Palacios,27,PIT,NL,91,264,247,59,10,40,12,56,0.239,0.279,0.413
Tommy Pham,35,NYM,NL,79,264,231,62,10,36,29,56,0.268,0.348,0.472
Tyler O'Neill,28,STL,NL,72,266,238,55,9,21,28,67,0.231,0.312,0.403
Gary Sánchez,30,TOT,NL,75,267,240,52,19,47,21,67,0.217,0.288,0.492
Harold Castro,29,COL,NL,99,270,258,65,1,31,9,66,0.252,0.275,0.314
Stone Garrett,27,WSN,NL,89,271,234,63,9,40,26,82,0.269,0.343,0.457
Jake Bauers,27,NYY,AL,84,272,242,49,12,30,27,95,0.202,0.279,0.413
Jacob Stallings,33,MIA,NL,88,276,241,46,3,20,27,67,0.191,0.278,0.286
Casey Schmitt,24,SFG,NL,90,277,253,52,5,30,13,65,0.206,0.255,0.324
C.J. Cron,33,TOT,MLB,71,278,258,64,12,37,17,65,0.248,0.295,0.434
José Caballero,26,SEA,AL,104,280,231,51,4,26,28,66,0.221,0.343,0.32
Eric Haase,30,DET,AL,86,282,264,53,4,26,16,78,0.201,0.246,0.284
Emmanuel Rivera,27,ARI,NL,86,283,257,67,4,29,22,56,0.261,0.314,0.358
Ildemaro Vargas,31,WSN,NL,86,286,262,66,4,31,19,20,0.252,0.304,0.363
Travis Jankowski,32,TEX,AL,107,287,247,65,1,30,35,42,0.263,0.357,0.332
Travis d'Arnaud,34,ATL,NL,74,292,267,60,11,39,21,67,0.225,0.288,0.397
Jordan Diaz,22,OAK,AL,90,293,272,60,10,27,17,69,0.221,0.273,0.364
Eric Haase,30,TOT,AL,89,293,274,55,4,26,17,81,0.201,0.247,0.281
Nick Maton,26,DET,AL,93,293,249,43,8,32,38,73,0.173,0.288,0.305
Nick Madrigal,26,CHC,NL,92,294,270,71,2,28,10,24,0.263,0.311,0.352
Zack Gelof,23,OAK,AL,69,300,270,72,14,32,26,82,0.267,0.337,0.504
Edmundo Sosa,27,PHI,NL,104,300,279,70,10,30,8,74,0.251,0.293,0.427
Danny Jansen,28,TOR,AL,86,301,268,61,17,53,23,62,0.228,0.312,0.474
Patrick Wisdom,31,CHC,NL,97,302,268,55,23,46,30,111,0.205,0.289,0.5
JJ Bleday,25,OAK,AL,82,303,256,50,10,27,42,72,0.195,0.31,0.355
Mark Canha,34,NYM,NL,89,303,257,63,6,29,32,52,0.245,0.343,0.381
Miguel Vargas,23,LAD,NL,81,304,256,50,7,32,38,61,0.195,0.305,0.367
Paul DeJong,29,STL,NL,81,306,279,65,13,32,21,87,0.233,0.297,0.412
Elehuris Montero,24,COL,NL,85,307,284,69,11,39,15,111,0.243,0.29,0.426
Matt Thaiss,28,LAA,AL,95,307,262,56,9,31,36,83,0.214,0.319,0.34
Eduardo Escobar,34,TOT,MLB,99,309,288,65,6,31,18,78,0.226,0.269,0.344
Harrison Bader,29,NYY,AL,84,310,288,69,7,37,14,56,0.24,0.278,0.365
Aaron Hicks,33,TOT,AL,93,312,269,68,8,36,42,69,0.253,0.353,0.383
Jake McCarthy,25,ARI,NL,99,312,276,67,2,16,26,62,0.243,0.318,0.326
Kyle Isbel,26,KCR,AL,91,313,292,70,5,34,17,59,0.24,0.282,0.38
Owen Miller,26,MIL,NL,90,314,291,76,5,27,17,61,0.261,0.303,0.371
Andruw Monasterio,26,MIL,NL,92,315,282,73,3,27,28,66,0.259,0.33,0.348
Joey Wendle,33,MIA,NL,112,318,297,63,2,20,13,67,0.212,0.248,0.306
Alex Kirilloff,25,MIN,AL,88,319,281,76,11,41,28,80,0.27,0.348,0.445
Daniel Vogelbach,30,NYM,NL,104,319,275,64,13,48,42,81,0.233,0.339,0.404
Brandon Crawford,36,SFG,NL,93,320,283,55,7,38,28,81,0.194,0.273,0.314
Jake Burger,27,CHW,AL,88,323,294,63,25,52,22,102,0.214,0.279,0.527
Nick Fortes,26,MIA,NL,108,323,294,60,6,26,17,59,0.204,0.263,0.299
Enrique Hernández,31,BOS,AL,86,323,297,66,6,31,22,68,0.222,0.279,0.32
Corey Julks,27,HOU,AL,93,323,298,73,6,33,22,75,0.245,0.297,0.352
Mickey Moniak,25,LAA,AL,85,323,311,87,14,45,9,113,0.28,0.307,0.495
Garrett Cooper,32,MIA,NL,82,324,305,78,13,46,17,97,0.256,0.296,0.426
Jace Peterson,33,OAK,AL,92,324,281,62,6,28,36,77,0.221,0.313,0.324
Jean Segura,33,MIA,NL,85,326,301,66,3,21,22,47,0.219,0.277,0.279
Nick Allen,24,OAK,AL,106,329,303,67,4,20,17,52,0.221,0.263,0.287
Will Benson,25,CIN,NL,108,329,287,79,11,31,40,103,0.275,0.365,0.498
Yuli Gurriel,39,MIA,NL,108,329,298,73,4,27,26,44,0.245,0.304,0.359
Zach Neto,22,LAA,AL,84,329,289,65,9,34,20,77,0.225,0.308,0.377
Oswaldo Cabrera,24,NYY,AL,115,330,298,63,5,29,25,72,0.211,0.275,0.299
Nick Senzel,28,CIN,NL,104,330,301,71,13,42,26,74,0.236,0.297,0.399
Christian Bethancourt,31,TBR,AL,104,332,315,71,11,33,13,91,0.225,0.254,0.381
Joey Gallo,29,MIN,AL,111,332,282,50,21,40,48,142,0.177,0.301,0.44
Kris Bryant,31,COL,NL,80,335,300,70,10,31,29,68,0.233,0.313,0.367
Ryan Jeffers,26,MIN,AL,96,335,286,79,14,43,33,93,0.276,0.369,0.49
Manuel Margot,28,TBR,AL,99,336,311,82,4,38,18,55,0.264,0.31,0.376
Drew Waters,24,KCR,AL,98,337,302,69,8,32,27,107,0.228,0.3,0.377
Cavan Biggio,28,TOR,AL,111,338,289,68,9,40,40,88,0.235,0.34,0.37
Starling Marte,34,NYM,NL,86,341,315,78,5,28,16,69,0.248,0.301,0.324
Jake Meyers,27,HOU,AL,112,341,309,70,10,33,26,88,0.227,0.296,0.382
Jorge Polanco,29,MIN,AL,80,343,302,77,14,48,36,88,0.255,0.335,0.454
Harrison Bader,29,TOT,MLB,98,344,319,74,7,40,17,59,0.232,0.274,0.348
Aledmys Díaz,32,OAK,AL,109,344,315,72,4,24,17,66,0.229,0.28,0.337
Mitch Garver,32,TEX,AL,87,344,296,80,19,50,44,82,0.27,0.37,0.5
Blake Sabol,25,SFG,NL,110,344,310,73,13,44,24,117,0.235,0.301,0.394
Gavin Sheets,27,CHW,AL,118,344,311,63,10,43,28,66,0.203,0.267,0.331
Gabriel Arias,23,CLE,AL,122,345,315,66,10,26,28,113,0.21,0.275,0.352
Nick Pratto,24,KCR,AL,95,345,306,71,7,35,29,138,0.232,0.307,0.353
Alec Burleson,24,STL,NL,107,347,315,77,8,36,23,45,0.244,0.3,0.39
Byron Buxton,29,MIN,AL,85,347,304,63,17,42,35,109,0.207,0.294,0.438
Taylor Walls,26,TBR,AL,99,349,303,61,8,36,44,92,0.201,0.305,0.333
Jorge Mateo,28,BAL,AL,116,350,318,69,7,34,22,82,0.217,0.267,0.34
Josh Rojas,29,TOT,MLB,105,350,314,77,4,40,27,81,0.245,0.303,0.338
Rowdy Tellez,28,MIL,NL,105,351,311,67,13,47,35,86,0.215,0.291,0.376
Patrick Bailey,24,SFG,NL,97,353,326,76,7,48,21,100,0.233,0.285,0.359
Adam Duvall,34,BOS,AL,92,353,320,79,21,58,22,110,0.247,0.303,0.531
Christian Vázquez,32,MIN,AL,102,355,327,73,6,32,25,82,0.223,0.28,0.318
Paul DeJong,29,TOT,NL,99,356,328,74,14,37,21,103,0.226,0.281,0.393
Akil Baddoo,24,DET,AL,112,357,312,68,11,34,42,89,0.218,0.31,0.372
Yoán Moncada,28,CHW,AL,92,357,334,87,11,40,20,107,0.26,0.305,0.425
Brian Anderson,30,MIL,NL,96,361,318,72,9,40,36,108,0.226,0.31,0.368
Isiah Kiner-Falefa,28,NYY,AL,113,361,326,79,6,37,28,70,0.242,0.306,0.34
Jarren Duran,26,BOS,AL,102,362,332,98,8,40,24,90,0.295,0.346,0.482
Mike Trout,31,LAA,AL,82,362,308,81,18,44,45,104,0.263,0.367,0.49
Jose Siri,27,TBR,AL,101,364,338,75,25,56,20,130,0.222,0.267,0.494
Jake Rogers,28,DET,AL,107,365,331,73,21,49,28,118,0.221,0.286,0.444
Ryan O'Hearn,29,BAL,AL,112,368,346,100,14,60,15,82,0.289,0.322,0.48
Kyle Farmer,32,MIN,AL,120,369,336,86,11,46,23,86,0.256,0.317,0.408
Miguel Cabrera,40,DET,AL,98,370,334,86,4,34,31,74,0.257,0.322,0.353
Ji Hwan Bae,23,PIT,NL,111,371,334,77,2,32,30,92,0.231,0.296,0.311
Brendan Donovan,26,STL,NL,95,371,327,93,11,34,33,53,0.284,0.365,0.422
Yainer Diaz,24,HOU,AL,104,377,355,100,23,60,11,74,0.282,0.308,0.538
Jason Heyward,33,LAD,NL,124,377,334,90,15,40,34,64,0.269,0.34,0.473
Seth Brown,30,OAK,AL,112,378,343,76,14,52,30,101,0.222,0.286,0.405
Jake Fraley,28,CIN,NL,111,380,336,86,15,65,37,71,0.256,0.339,0.443
Gabriel Moreno,23,ARI,NL,111,380,341,97,7,50,29,75,0.284,0.339,0.408
Mike Yastrzemski,32,SFG,NL,106,381,330,77,15,43,45,99,0.233,0.33,0.445
Jazz Chisholm Jr.,25,MIA,NL,97,383,352,88,19,51,26,118,0.25,0.304,0.457
Andy Ibáñez,30,DET,AL,114,383,356,94,11,41,24,69,0.264,0.312,0.433
Chris Taylor,32,LAD,NL,117,384,338,80,15,56,41,125,0.237,0.326,0.42
Edward Olivares,27,KCR,AL,107,385,354,93,12,36,22,64,0.263,0.317,0.452
Mike Moustakas,34,TOT,MLB,112,386,352,87,12,48,23,95,0.247,0.293,0.392
Michael A. Taylor,32,MIN,AL,129,388,355,78,21,51,26,130,0.22,0.278,0.442
Brett Baty,23,NYM,NL,108,389,353,75,9,34,29,109,0.212,0.275,0.323
Josh Bell,30,CLE,AL,97,393,347,81,11,48,43,81,0.233,0.318,0.383
Carlos Santana,37,PIT,NL,94,393,345,81,12,53,45,69,0.235,0.321,0.412
Ramón Urías,29,BAL,AL,116,396,360,95,4,42,27,101,0.264,0.328,0.375
Paul DeJong,29,TOT,MLB,112,400,372,77,14,38,21,121,0.207,0.258,0.355
Mike Tauchman,32,CHC,NL,108,401,337,85,8,48,56,86,0.252,0.363,0.377
Jesús Sánchez,25,MIA,NL,125,402,360,91,14,52,38,107,0.253,0.327,0.45
Alek Thomas,23,ARI,NL,125,402,374,86,9,39,19,86,0.23,0.273,0.374
Matt McLain,23,CIN,NL,89,403,365,106,16,50,31,115,0.29,0.357,0.507
Connor Wong,27,BOS,AL,126,403,371,87,9,36,22,134,0.235,0.288,0.385
Brandon Belt,35,TOR,AL,103,404,339,86,19,43,61,141,0.254,0.369,0.49
Ramón Laureano,28,TOT,AL,105,404,361,81,9,35,33,114,0.224,0.304,0.371
Yasmani Grandal,34,CHW,AL,118,405,363,85,8,33,36,86,0.234,0.309,0.339
Elvis Andrus,34,CHW,AL,112,406,374,94,6,44,25,71,0.251,0.304,0.358
Luke Raley,28,TBR,AL,118,406,357,89,19,49,28,128,0.249,0.333,0.49
Martín Maldonado,36,HOU,AL,116,407,362,69,15,36,30,139,0.191,0.258,0.348
Edouard Julien,24,MIN,AL,109,408,338,89,16,37,64,128,0.263,0.381,0.459
Kevin Kiermaier,33,TOR,AL,129,408,370,98,8,36,29,86,0.265,0.322,0.419
Willi Castro,26,MIN,AL,124,409,358,92,9,34,34,99,0.257,0.339,0.411
