name,album,Attribute,Value
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,78
I Hate It Here,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,105.953
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.763
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,131907
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,76
I Look in People's Windows,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,90.796
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.784
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,222072
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,81
imgonnagetyouback,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,110.007
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.423
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,277156
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,80
loml,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,78.539
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.596
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,203801
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,80
My Boy Only Breaks His Favorite Toys,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,97.073
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.342
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,283957
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,77
Peter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,176.859
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.476
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,240893
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,73
Robin,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,138.265
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.366
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,228800
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,82
So High School,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,176.07
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.423
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,262974
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,80
"So Long, London",THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,160.218
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.609
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,263817
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,76
thanK you aIMee,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,95.997
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.352
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,183878
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,77
The Albatross,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,172.013
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.64
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,196900
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,78
The Alchemy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,100.056
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.527
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,238857
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,79
The Black Dog,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,154.042
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.455
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,238241
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,77
The Bolter,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,183.694
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.509
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,224743
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,74
The Manuscript,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,94.184
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.421
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,249807
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,81
The Prophecy,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,167.927
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.426
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,245541
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,81
The Smallest Man Who Ever Lived,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,142.377
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.604
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,293048
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,79
The Tortured Poets Department,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,110.259
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,danceability,0.606
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,duration_ms,334084
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,popularity,81
Who’s Afraid of Little Old Me?,THE TORTURED POETS DEPARTMENT: THE ANTHOLOGY,tempo,119.88
