name,album,Attribute,Value
my tears ricochet,folklore,popularity,78
my tears ricochet,folklore,tempo,129.86
peace,folklore,danceability,0.647
peace,folklore,duration_ms,234000
peace,folklore,popularity,65
peace,folklore,tempo,150.044
seven,folklore,danceability,0.596
seven,folklore,duration_ms,208906
seven,folklore,popularity,70
seven,folklore,tempo,94.922
the 1,folklore,danceability,0.777
the 1,folklore,duration_ms,210251
the 1,folklore,popularity,74
the 1,folklore,tempo,139.884
the last great american dynasty,folklore,danceability,0.686
the last great american dynasty,folklore,duration_ms,230999
the last great american dynasty,folklore,popularity,70
the last great american dynasty,folklore,tempo,147.922
this is me trying,folklore,danceability,0.515
this is me trying,folklore,duration_ms,195097
this is me trying,folklore,popularity,73
this is me trying,folklore,tempo,135.886
Afterglow,Lover,danceability,0.756
Afterglow,Lover,duration_ms,223293
Afterglow,Lover,popularity,74
Afterglow,Lover,tempo,111.011
Cornelia Street,Lover,danceability,0.824
Cornelia Street,Lover,duration_ms,287266
Cornelia Street,Lover,popularity,74
Cornelia Street,Lover,tempo,102.012
Cruel Summer,Lover,danceability,0.552
Cruel Summer,Lover,duration_ms,178426
Cruel Summer,Lover,popularity,93
Cruel Summer,Lover,tempo,169.994
Daylight,Lover,danceability,0.557
Daylight,Lover,duration_ms,293453
Daylight,Lover,popularity,78
Daylight,Lover,tempo,149.983
Death By A Thousand Cuts,Lover,danceability,0.712
Death By A Thousand Cuts,Lover,duration_ms,198533
Death By A Thousand Cuts,Lover,popularity,72
Death By A Thousand Cuts,Lover,tempo,94.071
False God,Lover,danceability,0.739
False God,Lover,duration_ms,200306
False God,Lover,popularity,73
False God,Lover,tempo,79.97
I Forgot That You Existed,Lover,danceability,0.664
I Forgot That You Existed,Lover,duration_ms,170640
I Forgot That You Existed,Lover,popularity,71
I Forgot That You Existed,Lover,tempo,92.875
I Think He Knows,Lover,danceability,0.897
I Think He Knows,Lover,duration_ms,173386
I Think He Knows,Lover,popularity,72
I Think He Knows,Lover,tempo,100.003
It’s Nice To Have A Friend,Lover,danceability,0.737
It’s Nice To Have A Friend,Lover,duration_ms,150440
It’s Nice To Have A Friend,Lover,popularity,66
It’s Nice To Have A Friend,Lover,tempo,70.008
London Boy,Lover,danceability,0.695
London Boy,Lover,duration_ms,190240
London Boy,Lover,popularity,74
London Boy,Lover,tempo,157.925
Lover,Lover,danceability,0.359
Lover,Lover,duration_ms,221306
Lover,Lover,popularity,86
Lover,Lover,tempo,68.534
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,danceability,0.61
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,duration_ms,193000
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,popularity,75
ME! (feat. Brendon Urie of Panic! At The Disco),Lover,tempo,182.162
Miss Americana & The Heartbreak Prince,Lover,danceability,0.662
Miss Americana & The Heartbreak Prince,Lover,duration_ms,234146
Miss Americana & The Heartbreak Prince,Lover,popularity,79
Miss Americana & The Heartbreak Prince,Lover,tempo,150.088
Paper Rings,Lover,danceability,0.811
Paper Rings,Lover,duration_ms,222400
Paper Rings,Lover,popularity,78
Paper Rings,Lover,tempo,103.979
Soon You’ll Get Better (feat. The Chicks),Lover,danceability,0.433
Soon You’ll Get Better (feat. The Chicks),Lover,duration_ms,201586
Soon You’ll Get Better (feat. The Chicks),Lover,popularity,66
Soon You’ll Get Better (feat. The Chicks),Lover,tempo,207.476
The Archer,Lover,danceability,0.292
The Archer,Lover,duration_ms,211240
The Archer,Lover,popularity,75
The Archer,Lover,tempo,124.344
The Man,Lover,danceability,0.777
The Man,Lover,duration_ms,190360
The Man,Lover,popularity,81
The Man,Lover,tempo,110.048
You Need To Calm Down,Lover,danceability,0.771
You Need To Calm Down,Lover,duration_ms,171360
You Need To Calm Down,Lover,popularity,80
You Need To Calm Down,Lover,tempo,85.026
Anti-Hero,Midnights,danceability,0.633
Anti-Hero,Midnights,duration_ms,200690
Anti-Hero,Midnights,popularity,85
Anti-Hero,Midnights,tempo,96.888
Bejeweled,Midnights,danceability,0.687
Bejeweled,Midnights,duration_ms,194165
Bejeweled,Midnights,popularity,77
Bejeweled,Midnights,tempo,163.994
Karma,Midnights,danceability,0.64
Karma,Midnights,duration_ms,204852
Karma,Midnights,popularity,80
Karma,Midnights,tempo,90.008
Labyrinth,Midnights,danceability,0.48
Labyrinth,Midnights,duration_ms,247962
Labyrinth,Midnights,popularity,70
Labyrinth,Midnights,tempo,110.018
Lavender Haze,Midnights,danceability,0.735
Lavender Haze,Midnights,duration_ms,202395
Lavender Haze,Midnights,popularity,77
Lavender Haze,Midnights,tempo,97.05
Maroon,Midnights,danceability,0.655
Maroon,Midnights,duration_ms,218270
Maroon,Midnights,popularity,72
Maroon,Midnights,tempo,108.058
Mastermind,Midnights,danceability,0.66
Mastermind,Midnights,duration_ms,191039
Mastermind,Midnights,popularity,72
Mastermind,Midnights,tempo,125.96
Midnight Rain,Midnights,danceability,0.604
Midnight Rain,Midnights,duration_ms,174782
Midnight Rain,Midnights,popularity,76
Midnight Rain,Midnights,tempo,137.651
Question...?,Midnights,danceability,0.654
Question...?,Midnights,duration_ms,210556
Question...?,Midnights,popularity,66
Question...?,Midnights,tempo,108.874
Snow On The Beach (feat. Lana Del Rey),Midnights,danceability,0.663
Snow On The Beach (feat. Lana Del Rey),Midnights,duration_ms,256124
Snow On The Beach (feat. Lana Del Rey),Midnights,popularity,69
Snow On The Beach (feat. Lana Del Rey),Midnights,tempo,110.021
